time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0.0287602	0	radar	6.89903e-310	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4485	0.251375	-0.000718136	0.0287602	-2.08167e-17	lidar	0.000275962	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47147	0.248796	-0.00562322	0.0287633	2.858e-07	radar	0.125948	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46434	0.250973	-0.00872107	0.0287375	-3.25357e-06	lidar	0.00656087	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.37861	0.249046	-1.16205	0.0287486	1.00367e-06	radar	14.3786	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.30679	0.24821	-1.18607	0.0239271	-0.00115208	lidar	0.301068	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.10164	0.233507	-1.88781	0.0951097	0.0187584	radar	18.1824	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.99062	0.19679	-1.95348	0.24819	0.061608	lidar	1.49824	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.80356	0.282172	-2.54814	-0.511059	-0.276029	radar	8.01454	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.65739	0.216408	-2.6503	-0.107614	-0.102223	lidar	1.34039	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.54975	0.209414	-2.43248	-0.0923284	-0.125183	radar	0.842691	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.40191	0.110645	-2.42417	0.138926	0.0266165	lidar	0.85716	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.24068	0.0906687	-2.73631	0.123527	-0.061489	radar	1.29634	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.08711	0.00694012	-2.76559	0.230878	0.0683703	lidar	0.401263	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	6.98478	-0.108249	-2.34692	0.428732	0.521313	radar	4.02745	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.86852	-0.206582	-2.38756	0.525812	0.633352	lidar	0.241003	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.75643	-0.276578	-2.46806	0.546743	0.569183	radar	0.329641	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.65284	-0.388353	-2.54465	0.641122	0.682379	lidar	0.402012	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.60995	-0.552242	-2.38497	0.955576	1.38722	radar	3.80574	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.54956	-0.651316	-2.3817	1.02604	1.38974	lidar	0.00621901	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.50553	-0.81581	-2.46182	1.22914	1.67107	radar	0.775667	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.46539	-0.97803	-2.56041	1.34579	1.7022	lidar	0.361524	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.35928	-1.00985	-2.21307	1.13159	1.04829	radar	8.22407	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.2965	-1.15917	-2.34571	1.19225	1.04113	lidar	0.625046	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.38807	-1.37619	-2.3822	1.60142	1.69805	radar	26.5173	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.38719	-1.55421	-2.54909	1.69799	1.6974	lidar	0.721438	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.33903	-1.58056	-1.87354	1.61651	1.38196	radar	10.8035	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.31788	-1.75237	-2.11418	1.6598	1.33668	lidar	2.75972	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.35466	-1.95168	-2.61546	1.78491	1.44152	radar	5.87926	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.37262	-2.12303	-2.74891	1.83726	1.41232	lidar	0.867403	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.36467	-2.23385	-2.3404	1.84424	1.29677	radar	5.05882	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.38323	-2.41297	-2.49277	1.88193	1.25291	lidar	1.28691	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.42855	-2.57982	-2.66633	1.94199	1.24493	radar	0.709869	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.4683	-2.75293	-2.75868	1.98258	1.21207	lidar	0.594036	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.48649	-2.85672	-2.39025	2.00816	1.16094	radar	3.3412	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.51081	-3.01861	-2.50423	2.02207	1.11195	lidar	1.38771	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.56898	-3.17522	-2.64957	2.06639	1.09536	radar	0.725891	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.61413	-3.34787	-2.73251	2.08686	1.05344	lidar	1.05613	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.69668	-3.51057	-2.95916	2.13615	1.04761	radar	0.838933	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.77559	-3.67618	-3.01164	2.17213	1.02471	lidar	0.399464	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.84262	-3.79678	-2.70715	2.21234	1.00367	radar	1.80946	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.91109	-3.9563	-2.7635	2.23348	0.968934	lidar	0.822917	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.97919	-4.07168	-2.56225	2.27008	0.95044	radar	1.13402	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	7.03703	-4.22722	-2.60876	2.27807	0.906561	lidar	1.41295	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
